Part Number,Vendor,Vendor P/N,Package,Quantity On Hand,Price Each (qty 25),Description,Symbol Name,Symbol Library,Footprint Library,Family,Comments,Alternate vendor,Alternate P/N,Alternate Vendor,Alternate P/N,Datasheet
A-1080-0,TI,REG102UA-3.3,SO-8,2,$2.50,"IC, REG102UA-3.3 250mA LDO SO-8",,,,,,,,,,
A-1081-0,Linear Tech,LT1371CSW#PBF,SO-20,2,$7.10,"IC, LT1371 3A 500 kHz switching regulator SO-20",,asp_regulator,asp_ic,,,,,,,
A-1081-1,Linear Tech,LT1371CT7#PBF,TO-220-7S,3,$7.10,"IC, LT1371 3A 500 kHz switching regulator TO-220-7S",,asp_regulator,asp_ic,,,,,,,
A-1082-0,TI,TPS54329DDA,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,3,$1.50,"IC, TPS54329DDA 3-A stepdown switcher",,asp_regulator,asp_ic,,,,,,,
A-1083-0,Micrel,MIC37100-3.3WS,SOT-223,5,$1.44,"IC, MIC37100-3.3WS 3.3V 1A LDO",,asp_regulator,asp_ic,,,,,,,
A-1084-0,TI,DS90LV011ATMF/NOPB,SOT-23-5,3,$1.03,"IC, DS90LV011A single LVDS driver",DS90LV011A,asp_digital,asp_ic,,,,,,,
A-1085-0,TI,DS90LV012ATMF/NOPB,SOT-23-5,0,$0.86,"IC, DS90LV012A single LVDS receiver",DS90LV012A,asp_digital,asp_ic,,,,,,,
A-1085-1,TI,DS90LT012ATMF/NOPB,SOT-23-5,0,$1.20,"IC, DS90LT012A single LVDS receiver with termination",DS90LT012A,asp_digital,asp_ic,,,,,,,
A-1086-0,TI,OPA552UA,SOIC-8_3.9x4.9mm_P1.27mm,0,$4.19,"IC, OPA552UA single high-current high-voltage op-amp 12 MHz SO-8",,asp_analog,asp_ic,,,,,,,
A-1086-1,TI,OPA552PA,DIP-8_300,0,$3.99,"IC, OPA552PA single high-current high-voltage op-amp 12 MHz DIP-8",,asp_analog,asp_ic,,,,,,,
A-1087-0,TI,OPA1652AIDR,SOIC-8_3.9x4.9mm_P1.27mm,30,$1.43,"IC, OPA1652AID dual low-noise and distortion FET input op-amp SO-8",,asp_analog,asp_ic,,,,,,,
A-1088-0,TI,MAX3221ECPW,TSSOP-16,9,$1.37,"IC, MAX3221ECPW RS-232 transceiver (1 driver, 1 receiver) 250 kbps 5/3.3V",,asp_digital,asp_ic,,,TI,TRS3221EIPWR,,,
A-1089-0,Analog Devices,ADG5209BRUZ,TSSOP-16,10,$4.72,"IC, ADG5209BRUZ dual 4:1 analog mux +44V low crosstalk TSSOP-16",ADG5209BRUZ,asp_analog,asp_ic,,,,,,,
A-1090-0,Analog Devices,ADG5213BRUZ,TSSOP-16,6,$4.67,"IC, ADG5213BRUZ quad SPST analog switch +44V low crosstalk TSSOP-16",ADG5213BRUZ,asp_analog,asp_ic,,,,,,,
A-1091-0,TI,OPA551UA,SOIC-8_3.9x4.9mm_P1.27mm,0,$3.79,"IC, OPA551UA single high-current high-voltage op-amp 3 MHz SO-8",,asp_analog,asp_ic,,,,,,,
A-1091-1,TI,OPA551PA,DIP-8_300,8,$4.29,"IC, OPA551PA single high-current high-voltage op-amp 3 MHz DIP-8",,asp_analog,asp_ic,,,,,,,
A-1092-0,Cirrus,CS8416-CSZ,SOIC-28_7.5x17.9mm_Pitch1.27mm,0,$7.19,"IC, CS8416-CSZ 192 kHz digital audio receiver SOIC-28",,asp_converter,asp_ic,,,,,,,
A-1093-0,TI,PCM1796DB,SSOP-28_5.3x10.2mm_Pitch0.65mm,0,$5.95,"IC, PCM1796DB 192 kHz 24-bit stereo audio DAC 123 dB SSOP-28",,asp_converter,asp_ic,,,,,,,
A-1094-0,TI,SRC4392IPFB,TQFP-48_7x7mm_Pitch0.5mm,6,$17.00,"IC, SRC4392 216 kHz Async Sample Rate Converter with DIR and DIT TQFP-48",,asp_converter,asp_ic,,,,,,,
A-1095-0,Silicon Labs,EFM32TG222F8-QFP48,TQFP-48_7x7mm_Pitch0.5mm,0,$1.75,"IC, EFM32TG222F8-QFP48 ARM Cortex M3 32 MHz 8 kB flash 2 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1095-1,Silicon Labs,EFM32TG222F16-QFP48,TQFP-48_7x7mm_Pitch0.5mm,0,$1.94,"IC, EFM32TG222F16-QFP48 ARM Cortex M3 32 MHz 16 kB flash 4 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1095-2,Silicon Labs,EFM32TG222F32-QFP48,TQFP-48_7x7mm_Pitch0.5mm,0,$1.90,"IC, EFM32TG222F32-QFP48 ARM Cortex M3 32 MHz 32 kB flash 4 kB RAM",,asp_digital,asp_ic,,,,,,,
A-1096-0,Silicon Labs,Si5328C-C-GM,QFN-36-1EP_6x6mm_Pitch0.5mm,0,$15.00,"IC, Si5328C-C-GM Clock Multiplier 2 in 2 out QFN-36",,asp_digital,asp_ic,,,,,,,
A-1097-0,Silicon Labs,Si5344D-D-GM,QFN-44-1EP_7x7mm_Pitch0.5mm,5,$15.00,"IC, Si5344D-D-GM Clock Multiplier 4 in 4 out QFN-44 350 MHz Integer-only PLL",,asp_digital,asp_ic,,,,,,,
A-1097-1,Silicon Labs,Si5344A-D-GM,QFN-44-1EP_7x7mm_Pitch0.5mm,2,$20.00,"IC, Si5344D-A-GM Clock Multiplier 4 in 4 out QFN-44 1 GHz Fractional PLL",,asp_digital,asp_ic,,,,,,,
A-1098-0,Silicon Labs,C8051F863-C-GS,SO-16,0,$0.95,"IC, C8051F863-C-GS micro 8 kB flash 512 B RAM 25 MHz SO-16",,asp_digital,asp_ic,,,,,,,
A-1099-0,TI,SN74LVC1G17DBVR,SOT-23-5,1,$0.30,"IC, SN74LVC1G17DBVR single Schmitt Trigger SOT-23-5",,asp_digital,asp_ic,,,,,,,
A-1100-0,TI,SN74LVC1G08DBVR,SOT-23-5,3,$0.30,"IC, SN74LVC1G08DBVR single 2-input AND gate SOT-23-5",,asp_digital,asp_ic,,,,,,,
A-1101-0,Linear Tech,LT1086CT#PBF,TO-220,0,$2.67,"IC, LT1086CT#PBF Adjustable positive LDO regulator TO-220 1.5A",,asp_regulator,asp_ic,,,,,,,
A-1102-0,Silicon Labs,Si5351B-B-GM,QFN-20-1EP_4x4mm_Pitch-0.5mm,3,$2.66,"IC, Si5351B-B-GM I2C programmable VCXO and Clock Generator",,asp_digital,asp_ic,,,,,,,
A-1103-0,TI,CD74HC7046AM,SO-16,0,$1.12,"IC, SN74HC7046AM CMOS PLL w/VCO SO-16",,asp_pll,asp_ic,,,,,,,
A-1103-1,TI,CD74HC7046AE,DIP-16_W7.62mm,10,$1.12,"IC, SN74HC7046AE CMOS PLL w/VCO DIP-16",,asp_pll,asp_ic,,,,,,,
A-1104-0,NXP,74LVC157AD,SO-16,0,$0.35,"IC, 74LVC157AD quad 2-input mux SO-16",,asp_digital,asp_ic,,,TI,SN74LVC157AD,,,
A-1105-0,On Semi,NB3N551DG,SOIC-8_3.9x4.9mm_P1.27mm,4,$1.38,"IC, NB3N551DG 1:4 clock fanout buffer 180 MHz SO-8",,asp_digital,asp_ic,,,,,,,
A-1106-0,Silicon Labs,EFM32TG232F8-QFP64T,TQFP-64_10x10mm_Pitch0.5mm,0,$2.00,"IC, EFM32TG232F8-QFP64T ARM Cortex M3 32 MHz 8 kB flash 2 kBRAM",,asp_digital,asp_ic,,,,,,,
A-1106-1,Silicon Labs,EFM32TG232F16-QFP64T,TQFP-64_10x10mm_Pitch0.5mm,0,$2.10,"IC, EFM32TG232F16-QFP64T ARM Cortex M3 32 MHz 16 kB flash 4 kBRAM",,asp_digital,asp_ic,,,,,,,
A-1106-2,Silicon Labs,EFM32TG232F32-QFP64T,TQFP-64_10x10mm_Pitch0.5mm,0,$2.20,"IC, EFM32TG232F32-QFP64T ARM Cortex M3 32 MHz 32 kB flash 4 kBRAM",,asp_digital,asp_ic,,,,,,,
A-1107-0,ST,STP16CPC26MTR,SOIC-24W_7.5x15.4mm_Pitch1.27mm,0,$0.90,"IC, STP16CPC26MTR 16-bit constant current LED sink driver SPI SOIC-24W",,asp_digital,asp_ic,,,,,,,
